Edad,Hombres,Mujeres
0,2268,2155
1,2224,2027
2,2225,2101
3,2177,2161
4,2265,2145
5,2219,2127
6,2202,2069
7,2203,2066
8,2109,2152
9,2030,2047
10,2149,2096
11,1953,1934
12,2018,1879
13,1871,1879
14,1935,1974
15,1939,1868
16,1784,1851
17,1962,1915
18,2028,2000
19,1714,1804
20,1836,1961
21,1607,1675
22,1918,2022
23,1829,1989
24,1781,1921
25,1862,2011
26,1672,1849
27,1767,1864
28,1828,1745
29,1701,1657
30,1821,1987
31,1378,1415
32,1609,1683
33,1522,1545
34,1289,1432
35,1499,1472
36,1340,1369
37,1195,1192
38,1325,1254
39,1167,1221
40,1267,1251
41,751,754
42,1159,1119
43,929,857
44,810,830
45,915,873
46,648,618
47,637,635
48,665,690
49,674,585
50,783,743
51,438,379
52,588,551
53,470,473
54,454,436
55,460,452
56,440,357
57,335,295
58,359,358
59,306,334
60,425,406
61,188,191
62,254,280
63,290,268
64,262,255
65,306,256
66,205,192
67,173,199
68,202,204
69,159,169
70,235,212
71,97,78
72,135,162
73,110,133
74,132,118
75,132,133
76,95,104
77,81,92
78,107,87
79,68,71
80,99,88
81,38,38
82,52,69
83,46,55
84,41,47
85,28,54
86,44,52
87,32,43
88,28,32
89,23,27
90,31,20
91,7,13
92,11,11
93,11,14
94,6,10
95,5,7
96,6,11
97,5,1
98,5,6
99,6,8
100+,10,9
No especificado,408,228
