Edad,Hombre,Mujer
0,"2,282","2,314"
1,"2,554","2,465"
2,"2,581","2,454"
3,"2,522","2,517"
4,"2,564","2,359"
5,"2,474","2,275"
6,"2,454","2,404"
7,"2,381","2,409"
8,"2,526","2,452"
9,"2,486","2,382"
10,"2,657","2,481"
11,"2,531","2,325"
12,"2,357","2,325"
13,"2,288","2,282"
14,"2,404","2,346"
15,"2,335","2,289"
16,"2,356","2,296"
17,"2,473","2,415"
18,"2,703","2,673"
19,"2,399","2,464"
20,"2,603","2,641"
21,"2,467","2,450"
22,"2,655","2,572"
23,"2,590","2,493"
24,"2,561","2,566"
25,"2,481","2,538"
26,"2,273","2,256"
27,"2,216","2,235"
28,"2,359","2,291"
29,"2,061","2,003"
30,"2,408","2,386"
31,"1,729","1,734"
32,"2,065","2,156"
33,"1,998","2,124"
34,"1,930","1,895"
35,"2,089","2,202"
36,"2,067","2,074"
37,"1,946","1,875"
38,"2,226","2,052"
39,"1,852","1,823"
40,"2,148","2,131"
41,"1,367","1,386"
42,"2,025","1,952"
43,"1,531","1,555"
44,"1,331","1,394"
45,"1,611","1,603"
46,"1,353","1,259"
47,"1,268","1,254"
48,"1,321","1,304"
49,"1,162","1,169"
50,"1,392","1,384"
51,809,869
52,"1,095","1,095"
53,954,942
54,904,889
55,929,894
56,839,769
57,620,658
58,663,664
59,608,602
60,821,784
61,427,422
62,554,624
63,535,566
64,468,448
65,519,513
66,334,370
67,353,336
68,372,331
69,307,291
70,379,370
71,186,189
72,281,274
73,226,213
74,205,217
75,204,213
76,177,182
77,118,143
78,159,171
79,112,132
80,148,190
81,69,80
82,82,120
83,65,101
84,74,96
85,67,95
86,65,56
87,55,56
88,47,52
89,45,49
90,33,56
91,13,26
92,23,19
93,22,22
94,10,15
95,14,14
96,11,18
97,13,9
98,6,12
99,5,9
100+,10,14
No especificado,42,51
