Edad,Hombre,Mujer
0,"3,395","3,330"
1,"3,518","3,378"
2,"3,638","3,532"
3,"3,569","3,461"
4,"3,669","3,459"
5,"3,615","3,401"
6,"3,566","3,496"
7,"3,561","3,540"
8,"3,496","3,454"
9,"3,460","3,345"
10,"3,529","3,575"
11,"3,372","3,300"
12,"3,541","3,187"
13,"3,333","3,128"
14,"3,461","3,308"
15,"3,719","3,599"
16,"3,618","3,476"
17,"3,599","3,701"
18,"3,840","3,931"
19,"3,619","3,800"
20,"3,883","4,012"
21,"3,617","3,892"
22,"3,716","4,019"
23,"3,559","3,708"
24,"3,478","3,520"
25,"3,264","3,594"
26,"3,138","3,284"
27,"3,001","3,198"
28,"3,008","3,197"
29,"2,809","2,943"
30,"3,256","3,397"
31,"2,520","2,692"
32,"2,792","3,228"
33,"2,845","3,059"
34,"2,676","2,866"
35,"2,815","3,115"
36,"2,869","3,137"
37,"2,672","2,823"
38,"2,794","3,011"
39,"2,532","2,632"
40,"2,691","3,093"
41,"2,051","2,238"
42,"2,562","2,768"
43,"2,006","2,344"
44,"1,832","2,207"
45,"2,156","2,556"
46,"1,869","2,181"
47,"1,914","2,068"
48,"1,864","2,187"
49,"1,787","2,005"
50,"2,047","2,285"
51,"1,411","1,673"
52,"1,706","2,012"
53,"1,566","1,801"
54,"1,483","1,821"
55,"1,585","1,803"
56,"1,459","1,628"
57,"1,244","1,291"
58,"1,178","1,379"
59,"1,139","1,276"
60,"1,381","1,583"
61,813,911
62,"1,068","1,118"
63,941,"1,128"
64,896,982
65,949,"1,027"
66,734,843
67,711,732
68,692,767
69,650,718
70,752,867
71,435,515
72,608,684
73,545,586
74,519,624
75,442,514
76,375,466
77,351,398
78,344,410
79,280,360
80,324,455
81,188,229
82,226,271
83,188,231
84,180,278
85,166,222
86,151,192
87,110,174
88,94,129
89,97,122
90,65,134
91,37,48
92,53,87
93,37,69
94,32,36
95,34,40
96,25,31
97,21,27
98,21,24
99,13,17
100+,27,25
No especificado,50,33
